date,home_team,away_team,home_score,away_score,boxscore_url
2010-04-04,Boston Red Sox,New York Yankees,9,7,https://www.baseball-reference.com/boxes/BOS/BOS201004040.shtml
2010-04-05,LA Angels of Anaheim,Minnesota Twins,6,3,https://www.baseball-reference.com/boxes/ANA/ANA201004050.shtml
2010-04-05,Arizona D'Backs,San Diego Padres,6,3,https://www.baseball-reference.com/boxes/ARI/ARI201004050.shtml
2010-04-05,Atlanta Braves,Chicago Cubs,16,5,https://www.baseball-reference.com/boxes/ATL/ATL201004050.shtml
2010-04-05,Chicago White Sox,Cleveland Indians,6,0,https://www.baseball-reference.com/boxes/CHA/CHA201004050.shtml
2010-04-05,Cincinnati Reds,St. Louis Cardinals,6,11,https://www.baseball-reference.com/boxes/CIN/CIN201004050.shtml
2010-04-05,Houston Astros,San Francisco Giants,2,5,https://www.baseball-reference.com/boxes/HOU/HOU201004050.shtml
2010-04-05,Kansas City Royals,Detroit Tigers,4,8,https://www.baseball-reference.com/boxes/KCA/KCA201004050.shtml
2010-04-05,Milwaukee Brewers,Colorado Rockies,3,5,https://www.baseball-reference.com/boxes/MIL/MIL201004050.shtml
2010-04-05,New York Mets,Florida Marlins,7,1,https://www.baseball-reference.com/boxes/NYN/NYN201004050.shtml
2010-04-05,Oakland Athletics,Seattle Mariners,3,5,https://www.baseball-reference.com/boxes/OAK/OAK201004050.shtml
2010-04-05,Pittsburgh Pirates,Los Angeles Dodgers,11,5,https://www.baseball-reference.com/boxes/PIT/PIT201004050.shtml
2010-04-05,Texas Rangers,Toronto Blue Jays,5,4,https://www.baseball-reference.com/boxes/TEX/TEX201004050.shtml
2010-04-05,Washington Nationals,Philadelphia Phillies,1,11,https://www.baseball-reference.com/boxes/WAS/WAS201004050.shtml
2010-04-06,LA Angels of Anaheim,Minnesota Twins,3,5,https://www.baseball-reference.com/boxes/ANA/ANA201004060.shtml
2010-04-06,Arizona D'Backs,San Diego Padres,3,6,https://www.baseball-reference.com/boxes/ARI/ARI201004060.shtml
2010-04-06,Boston Red Sox,New York Yankees,4,6,https://www.baseball-reference.com/boxes/BOS/BOS201004060.shtml
2010-04-06,Houston Astros,San Francisco Giants,0,3,https://www.baseball-reference.com/boxes/HOU/HOU201004060.shtml
2010-04-06,Milwaukee Brewers,Colorado Rockies,7,5,https://www.baseball-reference.com/boxes/MIL/MIL201004060.shtml
2010-04-06,Oakland Athletics,Seattle Mariners,2,1,https://www.baseball-reference.com/boxes/OAK/OAK201004060.shtml
2010-04-06,Tampa Bay Rays,Baltimore Orioles,4,3,https://www.baseball-reference.com/boxes/TBA/TBA201004060.shtml
2010-04-07,LA Angels of Anaheim,Minnesota Twins,2,4,https://www.baseball-reference.com/boxes/ANA/ANA201004070.shtml
2010-04-07,Arizona D'Backs,San Diego Padres,5,3,https://www.baseball-reference.com/boxes/ARI/ARI201004070.shtml
2010-04-07,Atlanta Braves,Chicago Cubs,3,2,https://www.baseball-reference.com/boxes/ATL/ATL201004070.shtml
2010-04-07,Boston Red Sox,New York Yankees,1,3,https://www.baseball-reference.com/boxes/BOS/BOS201004070.shtml
2010-04-07,Chicago White Sox,Cleveland Indians,3,5,https://www.baseball-reference.com/boxes/CHA/CHA201004070.shtml
2010-04-07,Cincinnati Reds,St. Louis Cardinals,3,6,https://www.baseball-reference.com/boxes/CIN/CIN201004070.shtml
2010-04-07,Houston Astros,San Francisco Giants,4,10,https://www.baseball-reference.com/boxes/HOU/HOU201004070.shtml
2010-04-07,Kansas City Royals,Detroit Tigers,3,2,https://www.baseball-reference.com/boxes/KCA/KCA201004070.shtml
2010-04-07,Milwaukee Brewers,Colorado Rockies,5,4,https://www.baseball-reference.com/boxes/MIL/MIL201004070.shtml
2010-04-07,New York Mets,Florida Marlins,6,7,https://www.baseball-reference.com/boxes/NYN/NYN201004070.shtml
2010-04-07,Oakland Athletics,Seattle Mariners,6,5,https://www.baseball-reference.com/boxes/OAK/OAK201004070.shtml
2010-04-07,Pittsburgh Pirates,Los Angeles Dodgers,4,3,https://www.baseball-reference.com/boxes/PIT/PIT201004070.shtml
2010-04-07,Tampa Bay Rays,Baltimore Orioles,4,3,https://www.baseball-reference.com/boxes/TBA/TBA201004070.shtml
2010-04-07,Texas Rangers,Toronto Blue Jays,4,7,https://www.baseball-reference.com/boxes/TEX/TEX201004070.shtml
2010-04-07,Washington Nationals,Philadelphia Phillies,4,8,https://www.baseball-reference.com/boxes/WAS/WAS201004070.shtml
2010-04-08,LA Angels of Anaheim,Minnesota Twins,1,10,https://www.baseball-reference.com/boxes/ANA/ANA201004080.shtml
2010-04-08,Atlanta Braves,Chicago Cubs,0,2,https://www.baseball-reference.com/boxes/ATL/ATL201004080.shtml
2010-04-08,Chicago White Sox,Cleveland Indians,3,5,https://www.baseball-reference.com/boxes/CHA/CHA201004080.shtml
2010-04-08,Cincinnati Reds,St. Louis Cardinals,2,1,https://www.baseball-reference.com/boxes/CIN/CIN201004080.shtml
2010-04-08,Kansas City Royals,Detroit Tigers,3,7,https://www.baseball-reference.com/boxes/KCA/KCA201004080.shtml
2010-04-08,New York Mets,Florida Marlins,1,3,https://www.baseball-reference.com/boxes/NYN/NYN201004080.shtml
2010-04-08,Oakland Athletics,Seattle Mariners,6,2,https://www.baseball-reference.com/boxes/OAK/OAK201004080.shtml
2010-04-08,Pittsburgh Pirates,Los Angeles Dodgers,2,10,https://www.baseball-reference.com/boxes/PIT/PIT201004080.shtml
2010-04-08,Tampa Bay Rays,Baltimore Orioles,4,5,https://www.baseball-reference.com/boxes/TBA/TBA201004080.shtml
2010-04-08,Texas Rangers,Toronto Blue Jays,1,3,https://www.baseball-reference.com/boxes/TEX/TEX201004080.shtml
2010-04-08,Washington Nationals,Philadelphia Phillies,6,5,https://www.baseball-reference.com/boxes/WAS/WAS201004080.shtml
2010-04-09,LA Angels of Anaheim,Oakland Athletics,4,10,https://www.baseball-reference.com/boxes/ANA/ANA201004090.shtml
2010-04-09,Arizona D'Backs,Pittsburgh Pirates,9,1,https://www.baseball-reference.com/boxes/ARI/ARI201004090.shtml
2010-04-09,Baltimore Orioles,Toronto Blue Jays,6,7,https://www.baseball-reference.com/boxes/BAL/BAL201004090.shtml
2010-04-09,Chicago White Sox,Minnesota Twins,3,4,https://www.baseball-reference.com/boxes/CHA/CHA201004090.shtml
2010-04-09,Cincinnati Reds,Chicago Cubs,5,4,https://www.baseball-reference.com/boxes/CIN/CIN201004090.shtml
2010-04-09,Colorado Rockies,San Diego Padres,7,0,https://www.baseball-reference.com/boxes/COL/COL201004090.shtml
2010-04-09,Detroit Tigers,Cleveland Indians,5,2,https://www.baseball-reference.com/boxes/DET/DET201004090.shtml
2010-04-09,Florida Marlins,Los Angeles Dodgers,3,7,https://www.baseball-reference.com/boxes/FLO/FLO201004090.shtml
2010-04-09,Houston Astros,Philadelphia Phillies,0,8,https://www.baseball-reference.com/boxes/HOU/HOU201004090.shtml
2010-04-09,Kansas City Royals,Boston Red Sox,4,3,https://www.baseball-reference.com/boxes/KCA/KCA201004090.shtml
2010-04-09,Milwaukee Brewers,St. Louis Cardinals,4,5,https://www.baseball-reference.com/boxes/MIL/MIL201004090.shtml
2010-04-09,New York Mets,Washington Nationals,8,2,https://www.baseball-reference.com/boxes/NYN/NYN201004090.shtml
2010-04-09,San Francisco Giants,Atlanta Braves,5,4,https://www.baseball-reference.com/boxes/SFN/SFN201004090.shtml
2010-04-09,Tampa Bay Rays,New York Yankees,9,3,https://www.baseball-reference.com/boxes/TBA/TBA201004090.shtml
2010-04-09,Texas Rangers,Seattle Mariners,6,2,https://www.baseball-reference.com/boxes/TEX/TEX201004090.shtml
2010-04-10,LA Angels of Anaheim,Oakland Athletics,4,3,https://www.baseball-reference.com/boxes/ANA/ANA201004100.shtml
2010-04-10,Arizona D'Backs,Pittsburgh Pirates,3,6,https://www.baseball-reference.com/boxes/ARI/ARI201004100.shtml
2010-04-10,Baltimore Orioles,Toronto Blue Jays,0,3,https://www.baseball-reference.com/boxes/BAL/BAL201004100.shtml
2010-04-10,Chicago White Sox,Minnesota Twins,1,2,https://www.baseball-reference.com/boxes/CHA/CHA201004100.shtml
2010-04-10,Cincinnati Reds,Chicago Cubs,3,4,https://www.baseball-reference.com/boxes/CIN/CIN201004100.shtml
2010-04-10,Colorado Rockies,San Diego Padres,4,5,https://www.baseball-reference.com/boxes/COL/COL201004100.shtml
2010-04-10,Detroit Tigers,Cleveland Indians,4,2,https://www.baseball-reference.com/boxes/DET/DET201004100.shtml
2010-04-10,Florida Marlins,Los Angeles Dodgers,7,6,https://www.baseball-reference.com/boxes/FLO/FLO201004100.shtml
2010-04-10,Houston Astros,Philadelphia Phillies,6,9,https://www.baseball-reference.com/boxes/HOU/HOU201004100.shtml
2010-04-10,Kansas City Royals,Boston Red Sox,3,8,https://www.baseball-reference.com/boxes/KCA/KCA201004100.shtml
2010-04-10,Milwaukee Brewers,St. Louis Cardinals,1,7,https://www.baseball-reference.com/boxes/MIL/MIL201004100.shtml
2010-04-10,New York Mets,Washington Nationals,3,4,https://www.baseball-reference.com/boxes/NYN/NYN201004100.shtml
2010-04-10,San Francisco Giants,Atlanta Braves,2,7,https://www.baseball-reference.com/boxes/SFN/SFN201004100.shtml
2010-04-10,Tampa Bay Rays,New York Yankees,0,10,https://www.baseball-reference.com/boxes/TBA/TBA201004100.shtml
2010-04-10,Texas Rangers,Seattle Mariners,3,4,https://www.baseball-reference.com/boxes/TEX/TEX201004100.shtml
2010-04-11,LA Angels of Anaheim,Oakland Athletics,4,9,https://www.baseball-reference.com/boxes/ANA/ANA201004110.shtml
2010-04-11,Arizona D'Backs,Pittsburgh Pirates,15,6,https://www.baseball-reference.com/boxes/ARI/ARI201004110.shtml
2010-04-11,Baltimore Orioles,Toronto Blue Jays,2,5,https://www.baseball-reference.com/boxes/BAL/BAL201004110.shtml
2010-04-11,Chicago White Sox,Minnesota Twins,5,4,https://www.baseball-reference.com/boxes/CHA/CHA201004110.shtml
2010-04-11,Cincinnati Reds,Chicago Cubs,3,1,https://www.baseball-reference.com/boxes/CIN/CIN201004110.shtml
2010-04-11,Colorado Rockies,San Diego Padres,4,2,https://www.baseball-reference.com/boxes/COL/COL201004110.shtml
2010-04-11,Detroit Tigers,Cleveland Indians,9,8,https://www.baseball-reference.com/boxes/DET/DET201004110.shtml
2010-04-11,Florida Marlins,Los Angeles Dodgers,6,5,https://www.baseball-reference.com/boxes/FLO/FLO201004110.shtml
2010-04-11,Houston Astros,Philadelphia Phillies,1,2,https://www.baseball-reference.com/boxes/HOU/HOU201004110.shtml
2010-04-11,Kansas City Royals,Boston Red Sox,6,8,https://www.baseball-reference.com/boxes/KCA/KCA201004110.shtml
2010-04-11,Milwaukee Brewers,St. Louis Cardinals,8,7,https://www.baseball-reference.com/boxes/MIL/MIL201004110.shtml
2010-04-11,New York Mets,Washington Nationals,2,5,https://www.baseball-reference.com/boxes/NYN/NYN201004110.shtml
2010-04-11,San Francisco Giants,Atlanta Braves,6,3,https://www.baseball-reference.com/boxes/SFN/SFN201004110.shtml
2010-04-11,Tampa Bay Rays,New York Yankees,3,7,https://www.baseball-reference.com/boxes/TBA/TBA201004110.shtml
2010-04-11,Texas Rangers,Seattle Mariners,9,2,https://www.baseball-reference.com/boxes/TEX/TEX201004110.shtml
2010-04-12,Baltimore Orioles,Tampa Bay Rays,1,5,https://www.baseball-reference.com/boxes/BAL/BAL201004120.shtml
2010-04-12,Chicago Cubs,Milwaukee Brewers,9,5,https://www.baseball-reference.com/boxes/CHN/CHN201004120.shtml
2010-04-12,Cleveland Indians,Texas Rangers,2,4,https://www.baseball-reference.com/boxes/CLE/CLE201004120.shtml
2010-04-12,Detroit Tigers,Kansas City Royals,5,10,https://www.baseball-reference.com/boxes/DET/DET201004120.shtml
2010-04-12,Florida Marlins,Cincinnati Reds,5,6,https://www.baseball-reference.com/boxes/FLO/FLO201004120.shtml
2010-04-12,Minnesota Twins,Boston Red Sox,5,2,https://www.baseball-reference.com/boxes/MIN/MIN201004120.shtml
2010-04-12,Philadelphia Phillies,Washington Nationals,7,4,https://www.baseball-reference.com/boxes/PHI/PHI201004120.shtml
2010-04-12,San Diego Padres,Atlanta Braves,17,2,https://www.baseball-reference.com/boxes/SDN/SDN201004120.shtml
2010-04-12,Seattle Mariners,Oakland Athletics,0,4,https://www.baseball-reference.com/boxes/SEA/SEA201004120.shtml
2010-04-12,San Francisco Giants,Pittsburgh Pirates,9,3,https://www.baseball-reference.com/boxes/SFN/SFN201004120.shtml
2010-04-12,St. Louis Cardinals,Houston Astros,5,0,https://www.baseball-reference.com/boxes/SLN/SLN201004120.shtml
