Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Garrett Crochet*,26,BOS,AL,3.4,8,4,.667,2.26,18,18,0,0,0,0,115.1,87,33,29,10,32,0,144,0,3,2,457,184,2.55,1.032,6.8,0.8,2.5,11.2,4.50,,crochga01
2,Max Fried*,31,NYY,AL,3.7,10,2,.833,2.13,18,18,0,0,0,0,114.0,84,33,27,9,23,0,106,6,1,4,448,190,3.01,0.939,6.6,0.7,1.8,8.4,4.61,,friedma01
3,Logan Webb,28,SFG,NL,2.5,7,6,.538,2.61,18,18,0,0,0,0,113.2,106,37,33,7,24,0,127,1,0,2,461,148,2.31,1.144,8.4,0.6,1.9,10.1,5.29,,webblo01
4,Paul Skenes,23,PIT,NL,4.5,4,7,.364,2.03,18,18,0,1,0,0,111.0,72,28,25,5,30,0,115,3,0,2,429,209,2.49,0.919,5.8,0.4,2.4,9.3,3.83,,skenepa01
5,Spencer Schwellenbach,25,ATL,NL,1.7,7,4,.636,3.09,17,17,0,1,0,0,110.2,89,44,38,13,18,1,108,2,0,2,434,133,3.20,0.967,7.2,1.1,1.5,8.8,6.00,,schwesp01
6,Tarik Skubal*,28,DET,AL,3.9,10,2,.833,2.15,17,17,0,1,1,0,109.0,77,26,26,8,14,0,138,3,1,1,413,185,1.97,0.835,6.4,0.7,1.2,11.4,9.86,,skubata01
7,Framber Valdez*,31,HOU,AL,3.3,9,4,.692,2.72,17,17,0,2,0,0,109.0,84,33,33,6,39,0,108,4,0,5,439,148,3.00,1.128,6.9,0.5,3.2,8.9,2.77,,valdefr01
8,Zack Wheeler,35,PHI,NL,4.4,8,3,.727,2.27,17,17,0,0,0,0,107.0,72,29,27,10,25,0,136,3,0,1,413,186,2.54,0.907,6.1,0.8,2.1,11.4,5.44,,wheelza01
9,Carlos Rodón*,32,NYY,AL,2.7,9,5,.643,2.95,18,18,0,0,0,0,106.2,70,38,35,13,37,0,123,4,0,3,425,137,3.52,1.003,5.9,1.1,3.1,10.4,3.32,,rodonca01
10,Zack Littell,29,TBR,AL,1.7,7,7,.500,3.61,17,17,0,1,0,0,104.2,99,42,42,23,13,1,71,5,0,2,416,110,5.10,1.070,8.5,2.0,1.1,6.1,5.46,,litteza01
11,Luis Severino,31,ATH,AL,0.5,2,9,.182,5.09,18,18,0,0,0,0,104.1,110,64,59,11,34,1,71,8,0,3,462,82,4.30,1.380,9.5,0.9,2.9,6.1,2.09,,severlu01
12,Zac Gallen,29,ARI,NL,0.1,6,9,.400,5.45,18,18,0,0,0,0,104.0,100,67,63,20,42,1,98,2,0,1,448,76,4.97,1.365,8.7,1.7,3.6,8.5,2.33,,galleza01
13,José Berríos,31,TOR,AL,2.0,4,3,.571,3.26,17,17,0,0,0,0,102.0,86,38,37,12,37,2,89,4,1,1,415,128,4.08,1.206,7.6,1.1,3.3,7.9,2.41,,berrijo01
14,Jacob deGrom,37,TEX,AL,3.3,9,2,.818,2.13,17,17,0,0,0,0,101.1,69,24,24,10,21,0,100,2,0,1,386,178,3.08,0.888,6.1,0.9,1.9,8.9,4.76,,degroja01
15,Bryan Woo,25,SEA,AL,2.3,7,4,.636,2.93,16,16,0,0,0,0,101.1,81,35,33,14,17,0,96,3,0,2,400,126,3.58,0.967,7.2,1.2,1.5,8.5,5.65,,woobr01
16,Mitch Keller,29,PIT,NL,1.3,2,10,.167,3.90,17,17,0,0,0,0,99.1,96,47,43,7,25,0,77,4,0,2,417,109,3.33,1.218,8.7,0.6,2.3,7.0,3.08,,kellemi03
17,Kevin Gausman,34,TOR,AL,0.9,6,6,.500,4.18,17,17,0,0,0,0,99.0,81,47,46,12,29,1,93,3,1,0,401,100,3.75,1.111,7.4,1.1,2.6,8.5,3.21,,gausmke01
18,MacKenzie Gore*,26,WSN,NL,3.0,3,8,.273,3.09,17,17,0,0,0,0,99.0,89,35,34,11,30,0,129,3,0,6,406,129,2.92,1.202,8.1,1.0,2.7,11.7,4.30,,gorema01
19,Jake Irvin,28,WSN,NL,0.9,6,3,.667,4.73,17,17,0,0,0,0,99.0,99,53,52,19,30,0,71,3,0,1,423,84,5.15,1.303,9.0,1.7,2.7,6.5,2.37,,irvinja01
20,Matthew Boyd*,34,CHC,NL,1.6,8,3,.727,2.65,17,17,0,0,0,0,98.2,85,34,29,10,22,0,87,5,0,1,394,143,3.46,1.084,7.8,0.9,2.0,7.9,3.95,,boydma01
21,Robbie Ray*,33,SFG,NL,2.1,8,3,.727,2.75,17,17,0,0,0,0,98.1,75,33,30,10,38,0,110,0,0,4,400,141,3.33,1.149,6.9,0.9,3.5,10.1,2.89,,rayro02
22,Joe Ryan,29,MIN,AL,3.8,8,4,.667,2.75,17,16,0,0,0,0,98.1,66,31,30,11,20,0,108,10,2,0,383,153,3.26,0.875,6.0,1.0,1.8,9.9,5.40,,ryanjo04
23,Hunter Brown,26,HOU,AL,3.9,8,3,.727,1.74,16,16,0,1,0,0,98.0,59,20,19,8,28,0,118,3,0,0,368,232,2.69,0.888,5.4,0.7,2.6,10.8,4.21,,brownhu01
24,Merrill Kelly,36,ARI,NL,2.0,7,4,.636,3.49,17,17,0,0,0,0,98.0,79,44,38,11,26,0,100,1,1,0,395,119,3.33,1.071,7.3,1.0,2.4,9.2,3.85,,kellyme01
25,Shane Baz,26,TBR,AL,0.5,8,3,.727,4.33,17,17,0,0,0,0,97.2,86,47,47,16,36,0,97,5,0,2,407,91,4.49,1.249,7.9,1.5,3.3,8.9,2.69,,bazsh01
26,Jeffrey Springs*,32,ATH,AL,0.7,6,6,.500,4.07,18,16,0,0,0,0,97.1,83,55,44,16,37,0,79,1,2,0,412,102,4.77,1.233,7.7,1.5,3.4,7.3,2.14,,sprinje01
27,Dean Kremer,29,BAL,AL,1.1,7,7,.500,4.27,17,16,0,0,0,0,97.0,100,48,46,12,25,0,78,1,0,5,408,91,3.89,1.289,9.3,1.1,2.3,7.2,3.12,,kremede01
28,José Soriano,26,LAA,AL,1.7,5,5,.500,3.99,17,17,0,0,0,0,97.0,98,46,43,4,45,0,84,2,0,3,417,104,3.34,1.474,9.1,0.4,4.2,7.8,1.87,,soriajo02
29,Michael Wacha,33,KCR,AL,1.9,4,8,.333,3.62,17,17,0,0,0,0,97.0,96,39,39,11,26,0,75,2,0,1,409,114,3.88,1.258,8.9,1.0,2.4,7.0,2.88,,wachami01
30,Yusei Kikuchi*,34,LAA,AL,3.0,3,6,.333,2.79,17,17,0,0,0,0,96.2,88,37,30,11,44,3,99,1,0,3,411,149,3.91,1.366,8.2,1.0,4.1,9.2,2.25,,kikucyu01
31,Yoshinobu Yamamoto,26,LAD,NL,2.5,8,6,.571,2.51,17,17,0,0,0,0,96.2,66,30,27,9,32,0,109,2,0,4,381,157,3.10,1.014,6.1,0.8,3.0,10.1,3.41,,yamamyo01
32,Luis Castillo,32,SEA,AL,1.0,4,5,.444,3.55,17,17,0,0,0,0,96.1,92,40,38,12,32,0,79,2,0,1,407,104,4.12,1.287,8.6,1.1,3.0,7.4,2.47,,castilu02
33,Ryan Pepiot,27,TBR,AL,1.6,5,6,.455,3.36,17,17,0,0,0,0,96.1,81,37,36,14,30,0,92,3,0,3,388,118,4.09,1.152,7.6,1.3,2.8,8.6,3.07,,pepiory01
34,Kris Bubic*,27,KCR,AL,3.3,6,6,.500,2.25,16,16,0,0,0,0,96.0,79,28,24,5,29,1,101,3,0,1,388,183,2.66,1.125,7.4,0.5,2.7,9.5,3.48,,bubickr01
35,Grant Holmes,29,ATL,NL,1.5,4,7,.364,3.47,18,17,1,0,0,0,96.0,74,38,37,14,45,0,113,4,0,2,401,119,4.16,1.240,6.9,1.3,4.2,10.6,2.51,,holmegr01
36,Jesús Luzardo*,27,PHI,NL,2.1,7,4,.636,4.06,17,17,0,0,0,0,95.1,102,46,43,7,32,0,111,1,1,2,408,104,2.75,1.406,9.6,0.7,3.0,10.5,3.47,,luzarje01
37,David Peterson*,29,NYM,NL,1.6,5,4,.556,3.30,16,16,0,1,1,0,95.1,88,38,35,6,34,1,83,4,0,3,402,115,3.36,1.280,8.3,0.6,3.2,7.8,2.44,,peterda01
38,Jameson Taillon,33,CHC,NL,-0.2,7,6,.538,4.44,17,17,0,0,0,0,95.1,86,48,47,22,20,0,74,0,0,1,388,85,5.16,1.112,8.1,2.1,1.9,7.0,3.70,,taillja01
39,Tanner Bibee,26,CLE,AL,1.1,4,8,.333,3.90,16,16,0,1,0,0,94.2,86,44,41,15,26,1,82,6,1,1,393,106,4.43,1.183,8.2,1.4,2.5,7.8,3.15,,bibeeta01
40,Nick Lodolo*,27,CIN,NL,2.3,5,5,.500,3.52,17,17,0,1,0,0,94.2,89,39,37,13,20,0,85,11,1,2,398,127,4.06,1.151,8.5,1.2,1.9,8.1,4.25,,lodolni01
41,Chris Bassitt,36,TOR,AL,0.5,7,4,.636,4.29,17,17,0,0,0,0,94.1,103,47,45,11,25,0,93,7,1,2,412,97,3.65,1.357,9.8,1.0,2.4,8.9,3.72,,bassich01
42,Andre Pallante,26,STL,NL,0.9,5,4,.556,4.10,17,17,0,0,0,0,94.1,90,45,43,12,31,0,63,1,2,5,398,101,4.42,1.283,8.6,1.1,3.0,6.0,2.03,,pallaan01
43,Nick Martinez,34,CIN,NL,1.5,5,8,.385,4.12,18,16,0,0,0,0,94.0,88,44,43,13,21,0,69,4,0,5,381,109,4.21,1.160,8.4,1.2,2.0,6.6,3.29,,martini01
